,topic,usage situation,type of business,review date,overall rating,review,number of accounts used,effects after introducing the service,rate ease of use,rate helpfulness,rate customizability,rate functional satisfaction,rate service stability
229,セールスフォース顧客管理,currently not using,IT related Service,2020-09-10,3,"カスタムの性能があるのは分かるけど、ユーザーとしてはあまり活用仕切れなかった感覚があった。
saasとしての機能拡張性はデザインなどの使い勝手ありきだなと感じた。",501-1000,"導入決済者ではないので特には決めてはないし、これからも導入決定できる決済者になることはおそらくないので、
課題解決に対しては満足度は特にない",3.0,3.0,3.0,3.0,3.0
230,項目をカスタマイズしてCRM,currently not using,IT related Service,2020-09-10,3,CRMとしての機能は十分に有している。パイプライン管理や営業ログの確認などで役に立った。しかし、HubSpotでできるようなLP作成やミーティングリンクの作成などはできない。,301-500,営業ログの管理がしやすくなった。また、企業ごとのステータスをパイプライン管理できるようになり、企業アプローチの取りこぼしが少なくなった。,5.0,5.0,5.0,3.0,3.0
231,使う気力があれば仕組み化できる,using,IT related Service,2020-09-10,3,かなり仕組みに落とし込めるところはいいが、構築やチームへの浸透にはかなりリソースがかかる。ただ、恒久的に営業の仕組みを作ることができるので、やる価値は大いにあると思った。,2-10,顧客の管理ができておらず、属人的な管理なっており、人が辞めると引き継ぎがうまく行われず、売り上げの機会を損失する課題をビジュアルやテキストに残せるので引き継ぎにも役にたった。,3.0,4.0,5.0,3.0,4.0
232,CRMツールと言えば定番,using,IT related Service,2020-09-10,5,世界シェアNo.1の安心感や、簡単にカスタマイズが可能であること。拡張性も期待できるマーケティングからアフターサービスまでを一貫して対応（サポート）することが可能であることから使いやすいと感じている。,>31-50,営業管理ツールとしては非常に良く、欠かせないツールとなっている。ダッシュボード等を使い、様々な打ち手に利用出来ている。,5.0,5.0,5.0,5.0,5.0
234,リード管理から商談、契約中顧客の状況までを一元管理,using,IT related Service,2020-09-10,5,"当初はCRMとして導入し、契約中の顧客情報を蓄積していたが、その後リード管理、商談管理も始め、見込みの状態から契約中まで顧客の情報がすべて一元管理できている。
顧客の状況＝経営状況でもあるため、導入することで会社の状況がすべて把握できるようになった。",>51-100,"以前は会社メンバーも少人数だったため顧客の情報は属人的に把握していた状態だったが、顧客が増えるに従い把握が難しくなったところ、Salesforceを入れることで把握ができるようになった。
レポートにより社内共有や報告のための資料作成も簡素化され、分析もできるようになった。
CTIやMAとの連動により、少人数で最大限の効果を出すことができるようになった。",4.0,5.0,5.0,4.0,5.0
236,顧客のステータス管理,using,IT related Service,2020-09-10,5,"顧客管理やステータスの管理、電話の内容やメールのログ、商談の状況など細かな管理ができる。
ダッシュボードにして、グラフにすると進捗状況がひと目で分かるし、自分のしたい使用にカスタマイズできるのも良い。",>51-100,"スプレッドシートやエクセルでの管理はわかりやすい部分もあるが、
お客様とどんな会話をしたかやグラフでのカスタマイズまでは記入・作成がめんどくさい。
ここをセールスフォースなら簡単にできる。",4.0,5.0,5.0,5.0,4.0
237,セールス活動の全体最適ができる,using,IT related Service,2020-09-10,5,"直感的な操作で使えるほか、カスタマイズも数多くできる。
また、セキュリティー面も安全である。
新しい従業員が入った際のアカウント管理についても、特に不便なく使え、トレイルヘッドといったトレーニングプログラムも用意されている。",301-500,"元々はエクセルとスプレッドシートを用いて管理していたが、商談のフェーズ管理や顧客管理に限界を感じ、導入を決めた。

導入後、上記課題は解決された。",5.0,5.0,5.0,4.0,4.0
238,使いやすいCRMです,using,IT related Service,2020-09-10,4,顧客管理やフェーズ管理、カレンダーやチャット機能などCRMに一通り必要は機能が揃っています。チャット機能のメンションが漢字だと少しやりにくかったり、アプリのUIが使いづらいので４にしました。,>11-30,顧客に関する情報が今までバラバラ、不足だらけでしたが、Sales Cloudによって一元管理することができました。,4.0,5.0,4.0,4.0,5.0
239,カスタム性がある,using,IT related Service,2020-09-10,4,使用目的によりカスタムすることができる。私の場合、顧客が利用しており、そのアカウントを管理している立場になるが、顧客ごとにあわせてカスタムすることができ、提案もしやすい。,>31-50,各顧客のステータス管理がスムーズになった上、レポーティング業務も大幅に改善された。提案の幅が広がった。,5.0,4.0,5.0,4.0,5.0
240,案件管理,using,IT related Service,2020-09-10,4,"案件管理の効率化のために導入した。
これまではエクセルで案件管理を行い、定例で詳細を報告していたが、セールスフォース導入後はその手間がなくなった。
セールスフォースに登録するだけで案件管理ができるようになった。",>1,"エクセルで行なっていた案件管理がウェブ上で簡単にできるようになった。
会議が必要なくなり、業務が効率化した。",4.0,4.0,5.0,5.0,4.0
241,タスク管理や引継ぎがこれ一つで。ダッシュボードは使いづらい。,using,IT related Service,2020-09-10,4,タスク管理や案件引継ぎがこれ一つでできるので、楽になりました。ただ、エクセルだと簡単にできるグラフを作成したりといった作業がとっても時間がかかり、修正なども大変。レポート機能とDashboardがもっと便利になれば嬉しいです。,>1,入社時から使われているツールでしたので導入には関わっていません。当初はほとんど機能を使っていませんでした。タスク管理や顧客管理をこのツールでするようになってからは、マニュアル作業が減りました。,2.0,4.0,2.0,3.0,4.0
242,自身で業務の見える化及び判断基準となるレポートを作れる,using,IT related Service,2020-09-10,4,一番強いのがレポートおよびダッシュボード機能。他のクラウド型データベースにはないデータの処理スピードと、あらゆる角度での集計が可能。営業情報が入力できるツールは他にもあるがこのようにアウトプットできるツールは他に少ない貴重な存在。,>201-300,チームでの売上予測を精緻に行えるようになった。柔軟に設計ができるため、利用ルールを定め運用することで、全体で進捗を確認できるようになりました。,5.0,5.0,5.0,5.0,5.0
243,さすが世界No.1のSFA,using,IT related Service,2020-09-10,4,"営業メンバーをマネジメントする立場として、無くてはならない製品だと感じています。
こちらの製品を使うことで効率的に正確に現状を把握し、打ち手を考えることが出来るためです。",>11-30,"営業メンバーのマネジメントがしやすくなりました。
当月の見込み数値や案件数などがひと目でわかるので重宝しています。",3.0,5.0,5.0,5.0,5.0
244,他のサービスとの連携もスムーズ,using,IT related Service,2020-09-10,5,歴史のある顧客管理ですので事例も多いし、連携して使えるアプリケーションのマーケットもあるので開発しなくてもさまざまなSaaSと連携して使うことができます。他社に相談もしやすいです。,>201-300,"顧客情報の部署横断的な管理ができるようになりました。
また、どのようなリードソースからきたか、の管理もできるので営業分析もしやすくなりました。",3.0,5.0,5.0,5.0,5.0
245,顧客情報を蓄積し、営業、納品がデータで語られるように,using,Consulting Service,2020-09-10,4,salesforce salescloudがなければ今の営業や納品のデータによる改善は行われていないからです。一ユーザーとして非常に使いやすいです。マーケティングのデータもこれで蓄積できています。,>101-200,excelで管理されていたマーケティング情報がsalesforce上にあり、受注、マーケティング効果が飛躍的に良くなりました。,4.0,5.0,4.0,5.0,5.0
246,営業可視化の必携アイテム,using,IT related Service,2020-09-10,4,"タイトル通り、営業の商談把握をするには必須のサービスであると感じます。
マイナス面は多くの企業であると思いますが、ユーザーが増えた際のコスト面くらいだと思います。",>11-30,営業が保有している商談のすべてが可視化されることでパイプライン把握だけでなく、やり取りが分かるようになりました。,5.0,5.0,5.0,5.0,4.0
247,営業活動の可視化に欠かせないツール,using,IT related Service,2020-09-10,5,情報をちゃんと入力しておけばデータを日々ためることができ、リードタイムや業界ごとの受注率等を簡単に集計でき、意思決定のもとになるようなデータを集められ、マーケティング・営業活動の改善にも役立つ。,>101-200,営業によって属人化する営業活動結果が、入力を徹底させることにより若干見えるようにはなってくる。また、データを集約することで次の活動の基準になる。,5.0,5.0,5.0,5.0,5.0
248,利用意義がわかっていて指導できる人がいる組織ならROIは高い,using,IT related Service,2020-09-10,4,"個人的にはかなり使いやすく、分析や進捗確認等で活用し、知るほどに奥深さを感じる。まだフル活用はできていないかもしれないが、どんんどん使って行きたくなる。
一方でそれだけの機能や与えてくれるインサイトがあるからこそ「自分のために」使うことで満足できなくなってくるし、もったいないと感じてくる。他のチームや組織に展開し、共通インフラとして機能させる人がいなければ本当の意味での満足感は得られないと思う。",>101-200,"CRMやSFAのどれにも言えることだが、
・フォーマットの統一とチャート化によって進捗具合がわかりやすくなる。
・メンバーレベルでも分析や現状把握がしやすくなり、営業メンバーの能力の底上げになる。",4.0,4.0,3.0,4.0,4.0
249,顧客への応対履歴が可視化されて引き継げる,using,IT related Service,2020-09-10,4,"顧客への架電履歴やメール応対履歴を、一元管理できる。
1人の顧客に対して、様々な部署からアプローチする必要がある時、その手前の状況を把握するのに役立たっている。
ただアカウント料金がやや高く、代行入力を依頼するなど運用でカバーしている面がやや難。",>201-300,"顧客情報や顧客状況を社内で一元管理、共有できるようになった。
顧客に対するミスリードが減り。クレームにつながるケースが少なくなった。",4.0,5.0,4.0,5.0,4.0
250,顧客管理の定番,using,IT related Service,2020-09-10,5,元々は営業の顧客管理で使用していた。現在はインサイドセールスとしてリード獲得に使っている。リードは多岐に渡る為顧客の情報を覚えていられないので重宝している。また過去の他の人が対応した記録も残る。,2-10,数値管理がファクトベースでできるようになった。業務の効率化でメールの送信もできるため重宝している。その為作業時間の短縮ができた。,3.0,5.0,5.0,5.0,3.0
251,営業プロセスの管理がしやすくなった,currently not using,Consulting Service,2020-09-10,4,他ツールと比較し、入力のしやすさや管理のしやすさ、インターフェイスの見やすさなどが優れていると感じた。またシステム自体も重くなく、入力工数を削減出来るのも良い点だと感じた,>51-100,営業プロセスの管理面では各個人ごとの進捗や指標の管理がひと目でわかるため、誰がどれくらいの進捗なのかがわかるのでプロセス管理がしやすくなった,4.0,4.0,4.0,4.0,4.0
