,title,author_info,rating,pros,cons,helpful
118,Salesforce has changed and not for the better.,"Jun 29, 2022 - Senior Sales Engineer",1.0,There are none. This company has gotten progressively bad in the 8 years I've been here.,"They think they have a good culture when really it's just a cult. Most people being brought in act like everyone should get a trophy and most frontline manager are feckless, political, little people with a true talent of thinking themselves as mini benioffs. It's really quite disgusting.",6 people found this review helpful
119,Great Work Life Balance,,5.0,Salesforce is a great place to work if you’re looking for work life balance! You’re encouraged to prioritize mental health and well-being in general. They’re flexible about remote work and if you need to work weird hours due to child care etc. This probably varies a bit from team to team but generally they really encourage employees to be humans first.,"Salesforce is a big company that has been around for a while and with that comes less agility and more fixing tech debt, etc.",Be the first to find this review helpful
120,Great company and culture,,5.0,"Collaborative culture, people like working there.",Meeting sales goals and forecasting are an important part of the sales organization.,Be the first to find this review helpful
121,Good,,4.0,It was ok to be there,Nothing much to say it was ok,Be the first to find this review helpful
122,Great smart people,,4.0,Everyone is great to work with and always helping each other. It feels like people care about each other.,Workload currently for some is overwhelming,Be the first to find this review helpful
123,Pretty decent,,5.0,"I am about to start working here, it is chill",it is a little bit slow,Be the first to find this review helpful
124,Underpaid,,1.0,Unlimited PTO Good office and snacks,Salary Politics Promotion cycle Management,2 people found this review helpful
125,Great company,,5.0,Treats employees well great coworkers,Salary not competitive with market,Be the first to find this review helpful
126,Great place to work,,5.0,Very innovative and relevant technology,I don't have any. It's a great place to work.,Be the first to find this review helpful
127,Welcoming culture and serious about company values,,5.0,"All of my coworkers have been very friendly and accessible. My manager is sincerely invested in my professional growth and Salesforce offers many courses and other development resources. Work-life balance is taken very seriously, and the company seems to be putting its money where its mouth is regarding its inclusion and sustainability goals.","I spend a significant amount of time troubleshooting source control, build, and test tools, which are often very slow. This doesn't seem to be unusual for large enterprise codebases, however, and the company has started making developer productivity a major priority.",Be the first to find this review helpful
128,Great transferable skills to take with you and upwards growth,,4.0,Great resume company that teaches you transferable skills,High pressure and ever increasing work load with low salary raises in same title,Be the first to find this review helpful
129,Salesforce,,5.0,Amazing culture and the people,no cons so far great place to work,Be the first to find this review helpful
130,Great place to work,,5.0,"People, tech, culture, work life balance, benefits",no personal chef available lol,Be the first to find this review helpful
131,Just get the name on your resume,,4.0,"- great logo, people, and employee perks",- low pay & terrible territory distribution,1 person found this review helpful
132,Toxic,,1.0,Pay and benefits are good,Team collaboration is the worst I’ve ever experienced.,4 people found this review helpful
133,No place better!,,5.0,"Great culture, great opportunities, great people",Scale is slowing innovations...need to figure out how to do both.,Be the first to find this review helpful
134,Amazing Culture,,5.0,"Great benefits, great co-workers, the culture truly lives its values!","Long learning curve, very complex and diverse company and business",Be the first to find this review helpful
